objectid,title,date,date-is-approximate?,creator,recipient,description,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,rights,rightsstatement,type,format,language,relation,display_template,object_location,identifier,image_small,image_thumb
qknichols001,Camelot,1979,yes,Pit & Balcony Theatre,,PDF of the Camelot 1979 program ,,camelot; medieval; musical;,"Saginaw, Michigan",43.4217,83.9566,,,"Archive Collection, Pit & Balcony Theatre",,,,,,application/pdf,eng,,pdf,/objects/camelot_1979_pit_and_balcony.jpg,camelot_1979,/objects/small/camelot_1979_sm.jpg,/objects/thumbs/camelot_1979_th.jpg
qknichols002,Six Degrees of Separation,2007,yes,Pit & Balcony Theatre,,PDF of the Six Degrees of Separation 2007 program,,six degrees of separation; play;,"Saginaw, Michigan",43.4217,83.9566,,,"Archive Collection, Pit & Balcony Theatre",,,,,,application/pdf,eng,,pdf,/objects/six_degrees_of_separation.jpg,six_degrees_of_separation_2007,/objects/small/six_degrees_of_separation_2007_sm.jpg,/objects/thumbs/six_degrees_of_separation_2007_th.jpg
qknichols003,Little Shop of Horrors,2007,yes,Pit & Balcony Theatre,,PDF of the Little Shop of Horrors 2007 program,,little shop of horrors; musical; satire; comedy;,"Saginaw, Michigan",43.4217,83.9566,,,"Archive Collection, Pit & Balcony Theatre",,,,,,application/pdf,eng,,pdf,/objects/little_shop_of_horrors_2007.jpg,little_shop_2007,/objects/small/little_shop_2007_sm.jpg,/objects/thumbs/little_shop_2007_th.jpg
qknichols004,Nuncrackers,2012,yes,Pit & Balcony Theatre,,PDF of the Nuncrackers 2012 program,,Nuncrackers; musical; comedy; religion,"Saginaw, Michigan",43.4217,83.9566,,,"Archive Collection, Pit & Balcony Theatre",,,,,,application/pdf,eng,,pdf,/objects/nuncrackers_pit_and_balcony_2012.jpg,nuncrackers_2012,/objects/small/nuncrackers_2012_sm.jpg,/objects/thumbs/nuncrackers_2012_th.jpg
qknichols005,"Almost, Maine",2025,yes,Pit & Balcony Theatre,,"PDF of the Almost, Maine 2025 program",,almost maine; play; love,"Saginaw, Michigan",43.4217,83.9566,,,"Archive Collection, Pit & Balcony Theatre",,,,,,application/pdf,eng,,pdf,/objects/almost_maine_2025.jpg,almost_maine_2025,/objects/small/almost_maine_2025_sm.jpg,/objects/thumbs/almost_maine_2025_th.jpg
qknichols006,2013 Annual Meeting Agenda ,2013,yes,Pit & Balcony Theatre,,PDF of the 2013 Annual Meeting agenda,,meeting agenda; meetings,"Saginaw, Michigan",43.4217,83.9566,,,"Archive Collection, Pit & Balcony Theatre",,,,,,application/pdf,eng,,pdf,/objects/annual_mtg_minutes_05_23_2013.jpg,annual_meeting_agenda_2013,/objects/small/annual_meeting_agenda_2013_sm.jpg,/objects/thumbs/annual_meeting_agenda_2013_th.jpg
qknichols007,2013 Annual Meeting Announcement,2013,yes,Pit & Balcony Theatre,,PDF of the 2013 Annual Meeting announcement,,meeting announcement; meetings,"Saginaw, Michigan",43.4217,83.9566,,,"Archive Collection, Pit & Balcony Theatre",,,,,,application/pdf,eng,,pdf,/objects/membership_mtg_letter.jpg,annual_meeting_announcement_2013,/objects/small/annual_meeting_announcement_2013_sm.jpg,/objects/thumbs/annual_meeting_announcement_2013_th.jpg
qknichols008,2012 Annual Meeting Minutes,2012,yes,Pit & Balcony Theatre,,PDF of the 2012 Annual Meeting minutes,,meeting minutes; meetings,"Saginaw, Michigan",43.4217,83.9566,,,"Archive Collection, Pit & Balcony Theatre",,,,,,application/pdf,eng,,pdf,/objects/2012_annual_mtg_minutes.jpg,annual_meeting_minutes_2012,/objects/small/annual_meeting_minutes_2012_sm.jpg,/objects/thumbs/annual_meeting_minutes_2012_th.jpg
qknichols009,p&b logo,2025,yes,Pit & Balcony Theatre,,PNG of the Pit & Balcony Logo,,,"Saginaw, Michigan",43.4217,83.9566,,,"Archive Collection, Pit & Balcony Theatre",,,,,,image/jpeg,eng,,image,/objects/logo.jpg,logo,/objects/small/logo_sm.jpg,/objects/thumbs/logo_th.jpg
