objectid,title,date,date-is-approximate?,creator,recipient,description,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,rights,rightsstatement,type,format,language,relation,display_template,object_location,identifier,image_small,image_thumb
qknichols001,Camelot,1979,yes,Pit & Balcony Theatre,,PDF of the Camelot 1979 program ,,camelot; medieval; musical;,"Saginaw, Michigan",43.4217,83.9566,,,"Archive Collection, Pit & Balcony Theatre",,,,,,application/pdf,eng,,pdf,https://archive.org/details/camelot_1979_pit_and_balcony,CAM-1979-01,/objects/small/CAM-1979-01_sm.jpg,/objects/thumbs/CAM-1979-01_th.jpg
qknichols002,Six Degrees of Separation,2007,yes,Pit & Balcony Theatre,,PDF of the Six Degrees of Separation 2007 program,,six degrees of separation; play;,"Saginaw, Michigan",43.4217,83.9566,,,"Archive Collection, Pit & Balcony Theatre",,,,,,application/pdf,eng,,pdf,https://archive.org/details/six_degrees_of_separation/page/n27/mode/2up,SIX-2007-01,/objects/small/SIX-2007-01_sm.jpg,/objects/thumbs/SIX-2007-01_th.jpg
qknichols003,Little Shop of Horrors,2007,yes,Pit & Balcony Theatre,,PDF of the Little Shop of Horrors 2007 program,,little shop of horrors; musical; satire; comedy;,"Saginaw, Michigan",43.4217,83.9566,,,"Archive Collection, Pit & Balcony Theatre",,,,,,application/pdf,eng,,pdf,https://archive.org/details/little_shop_of_horrors_2007,LIT-2007-01,/objects/small/LIT-2007-01_sm.jpg,/objects/thumbs/LIT-2007-01_th.jpg
qknichols004,Nuncrackers,2012,yes,Pit & Balcony Theatre,,PDF of the Nuncrackers 2012 program,,Nuncrackers; musical; comedy; religion,"Saginaw, Michigan",43.4217,83.9566,,,"Archive Collection, Pit & Balcony Theatre",,,,,,application/pdf,eng,,pdf,https://archive.org/details/nuncrackers_pit_and_balcony_2012,NUN-2012-01,/objects/small/NUN-2012-01_sm.jpg,/objects/thumbs/NUN-2012-01_th.jpg
qknichols005,"Almost, Maine",2025,yes,Pit & Balcony Theatre,,"PDF of the Almost, Maine 2025 program",,almost maine; play; love,"Saginaw, Michigan",43.4217,83.9566,,,"Archive Collection, Pit & Balcony Theatre",,,,,,application/pdf,eng,,pdf,https://archive.org/details/almost-maine-25/mode/2up,ALM-2025-01,/objects/small/ALM-2025-01_sm.jpg,/objects/thumbs/ALM-2025-01_th.jpg
qknichols006,2013 Annual Meeting Agenda ,2013,yes,Pit & Balcony Theatre,,PDF of the 2013 Annual Meeting agenda,,meeting agenda; meetings,"Saginaw, Michigan",43.4217,83.9566,,,"Archive Collection, Pit & Balcony Theatre",,,,,,application/pdf,eng,,pdf,https://archive.org/details/annual_mtg_minutes_05_23_2013,AGEN-2013-01,/objects/small/AGEN-2013-01_sm.jpg,/objects/thumbs/AGEN-2013-01_th.jpg
qknichols007,2013 Annual Meeting Announcement,2013,yes,Pit & Balcony Theatre,,PDF of the 2013 Annual Meeting announcement,,meeting announcement; meetings,"Saginaw, Michigan",43.4217,83.9566,,,"Archive Collection, Pit & Balcony Theatre",,,,,,application/pdf,eng,,pdf,https://archive.org/details/membership_mtg_letter,LET-2013-01,/objects/small/LET-2013-01_sm.jpg,/objects/thumbs/LET-2013-01_th.jpg
qknihcols008,2012 Annual Meeting Minutes,2012,yes,Pit & Balcony Theatre,,PDF of the 2012 Annual Meeting minutes,,meeting minutes; meetings,"Saginaw, Michigan",43.4217,83.9566,,,"Archive Collection, Pit & Balcony Theatre",,,,,,application/pdf,eng,,pdf,https://archive.org/details/2012-annual-mtg-minutes,MIN-2012-01,/objects/small/MIN-2012-01_sm.jpg,/objects/thumbs/MIN-2012-01_th.jpg
